image,ground_truth,prediction,cer
/kaggle/input/uit-uwdb-line/UIT_HWDB_line/test_data/250/1.jpg,Thứ trưởng Bộ Tài nguyên & môi trường Đặng Hùng Võ tâm đắc với,Thứ tháng Bảy năm ngày và mới tháng Đáng Hùng vào năm 1942 với:,0.43548387096774194
/kaggle/input/uit-uwdb-line/UIT_HWDB_line/test_data/250/2.jpg,"cơ chế "" khuyến khích nhà đầu tư thỏa thuận với người sử dụng đất để nhận","có thể ""không khác, mà tôi thỏa thuận với người sửa đổi"" để nhấn",0.3698630136986301
/kaggle/input/uit-uwdb-line/UIT_HWDB_line/test_data/250/3.jpg,"chuyển nhượng hoặc thuê quyền sử dụng đất, nhận góp vốn bằng quyền sử","chuyên nhúng hoặc thực quyển sử dụng đặt, nhân góp vốn bảng quyển sử",0.14492753623188406
/kaggle/input/uit-uwdb-line/UIT_HWDB_line/test_data/250/4.jpg,"dụng đất... "" Nhưng tại hội nghị hôm qua, tiếng nói từ các sở tài nguyên","dùng đặt ... "" Mừng tai hồi nghĩa hôm qua, tiếng nói: hãi cái gò tàn nguyện.",0.2777777777777778
/kaggle/input/uit-uwdb-line/UIT_HWDB_line/test_data/250/5.jpg,"& môi trường lại đều đồng thanh "" loại bỏ "" điều khoản này ra khỏi dự thảo.","và mới thấy lời tiếc hãm ""you bo"" tiếc chưa nảy ra loại đã tháo.",0.5466666666666666
/kaggle/input/uit-uwdb-line/UIT_HWDB_line/test_data/250/6.jpg,Giám đốc Sở Tài nguyên & môi trường Hải Phòng Chu Minh Tuấn cho,gian đời Sở tài nguyên và môi trường Hải phòng chương Minh Trần che,0.20634920634920634
/kaggle/input/uit-uwdb-line/UIT_HWDB_line/test_data/250/7.jpg,"biết thành phố cảng từng áp dụng cơ chế "" thỏa thuận "" trong một số","but think that can't bring up being a cheater. ""I don't think I'm a cheater.""",0.7164179104477612
/kaggle/input/uit-uwdb-line/UIT_HWDB_line/test_data/250/8.jpg,"rất ít trường hợp, vậy mà đã gây phản ứng theo kiểu dây chuyền khá","yet it might happen, and my main goal in my life is to stay young the whole day.",0.8787878787878788
/kaggle/input/uit-uwdb-line/UIT_HWDB_line/test_data/250/9.jpg,"mạnh : anh này nhận tiền rồi quay lại đòi nữa, anh kia thỏa thuận","mamh: anh nay nhân triển rồi quay lại đời mùa, anh luôn thơ thưa.",0.2923076923076923
/kaggle/input/uit-uwdb-line/UIT_HWDB_line/test_data/250/10.jpg,xong quay ra đòi thỏa thuận lại...,xong quay ra tôi thoa' thua lai...,0.20588235294117646
